month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2024-12-01 05:00:00+00:00,Total,31,Silver Line,836989,27000,47
2024-07-01 04:00:00+00:00,Total,31,Silver Line,880384,28399,57
2024-11-01 04:00:00+00:00,Total,30,Silver Line,946230,31541,149
2024-08-01 04:00:00+00:00,Total,31,Silver Line,870265,28073,155
2024-10-01 04:00:00+00:00,Total,31,Silver Line,950838,30672,201
2024-06-01 04:00:00+00:00,Total,30,Silver Line,854396,28480,309
2024-09-01 04:00:00+00:00,Total,30,Silver Line,840020,28001,353
2024-04-01 04:00:00+00:00,Total,30,Silver Line,835010,27834,432
2024-03-01 05:00:00+00:00,Total,31,Silver Line,844945,27256,434
2023-11-01 04:00:00+00:00,Total,30,Silver Line,808932,26964,436
2024-02-01 05:00:00+00:00,Total,29,Silver Line,725807,25028,561
2024-05-01 04:00:00+00:00,Total,31,Silver Line,883599,28503,621
2023-12-01 05:00:00+00:00,Total,31,Silver Line,769111,24810,626
2023-10-01 04:00:00+00:00,Total,31,Silver Line,881434,28433,711
2024-01-01 05:00:00+00:00,Total,31,Silver Line,716178,23103,763
2023-08-01 04:00:00+00:00,Total,31,Silver Line,876736,28282,811
2023-09-01 04:00:00+00:00,Total,30,Silver Line,835741,27858,861
2023-06-01 04:00:00+00:00,Total,30,Silver Line,816953,27232,943
2023-05-01 04:00:00+00:00,Total,31,Silver Line,819313,26429,952
2023-07-01 04:00:00+00:00,Total,31,Silver Line,825974,26644,1016
2023-03-01 05:00:00+00:00,Total,31,Silver Line,741245,23911,1084
2023-02-01 05:00:00+00:00,Total,28,Silver Line,596547,21305,1138
2023-04-01 04:00:00+00:00,Total,30,Silver Line,714204,23807,1180
2022-08-01 04:00:00+00:00,Total,31,Silver Line,779211,25136,1216
2022-10-01 04:00:00+00:00,Total,31,Silver Line,758539,24469,1231
2022-11-01 04:00:00+00:00,Total,30,Silver Line,733218,24441,1297
