year,month_of_service,route_or_line,ridership_total,ridership_average
2017,2017-01-01 05:00:00+00:00,Bus,8003644.0,242534.0
2017,2017-02-01 05:00:00+00:00,Bus,7301412.0,260764.0
2017,2017-03-01 05:00:00+00:00,Bus,8595017.0,277259.0
2017,2017-04-01 04:00:00+00:00,Bus,8098478.0,269949.0
2017,2017-05-01 04:00:00+00:00,Bus,8817889.0,284448.0
2017,2017-06-01 04:00:00+00:00,Bus,8478556.0,282619.0
2017,2017-07-01 04:00:00+00:00,Bus,8661443.0,279401.0
2017,2017-08-01 04:00:00+00:00,Bus,8927405.0,287981.0
2017,2017-09-01 04:00:00+00:00,Bus,9089873.0,302995.0
2017,2017-10-01 04:00:00+00:00,Bus,9612888.0,310094.0
2017,2017-11-01 04:00:00+00:00,Bus,8778394.0,292614.0
2017,2017-12-01 05:00:00+00:00,Bus,7942371.0,256206.0
2017,2017-01-01 05:00:00+00:00,Silver Line,704132.0,21337.0
2017,2017-02-01 05:00:00+00:00,Silver Line,612411.0,21872.0
2017,2017-03-01 05:00:00+00:00,Silver Line,763541.0,24630.0
2017,2017-04-01 04:00:00+00:00,Silver Line,701721.0,23391.0
2017,2017-05-01 04:00:00+00:00,Silver Line,650810.0,20994.0
2017,2017-06-01 04:00:00+00:00,Silver Line,682274.0,22742.0
2017,2017-07-01 04:00:00+00:00,Silver Line,944674.0,30473.0
2017,2017-08-01 04:00:00+00:00,Silver Line,932853.0,30092.0
2017,2017-09-01 04:00:00+00:00,Silver Line,837035.0,27901.0
2017,2017-10-01 04:00:00+00:00,Silver Line,900333.0,29043.0
2017,2017-11-01 04:00:00+00:00,Silver Line,836488.0,27883.0
2017,2017-12-01 05:00:00+00:00,Silver Line,773517.0,24952.0
2018,2018-01-01 05:00:00+00:00,Bus,8217400.0,249012.0
2018,2018-02-01 05:00:00+00:00,Bus,7965649.0,284488.0
2018,2018-03-01 05:00:00+00:00,Bus,8619946.0,278063.0
2018,2018-04-01 04:00:00+00:00,Bus,8658518.0,288617.0
2018,2018-05-01 04:00:00+00:00,Bus,9326564.0,300857.0
2018,2018-06-01 04:00:00+00:00,Bus,8779719.0,292657.0
2018,2018-07-01 04:00:00+00:00,Bus,8171893.0,263609.0
2018,2018-08-01 04:00:00+00:00,Bus,8532722.0,275249.0
2018,2018-09-01 04:00:00+00:00,Bus,8465423.0,282181.0
2018,2018-10-01 04:00:00+00:00,Bus,9367658.0,302183.0
2018,2018-11-01 04:00:00+00:00,Bus,8272985.0,275766.0
2018,2018-12-01 05:00:00+00:00,Bus,7604220.0,245297.0
2018,2018-01-01 05:00:00+00:00,Silver Line,786331.0,23828.0
2018,2018-02-01 05:00:00+00:00,Silver Line,739721.0,26419.0
2018,2018-03-01 05:00:00+00:00,Silver Line,842411.0,27175.0
2018,2018-04-01 04:00:00+00:00,Silver Line,923508.0,30784.0
2018,2018-05-01 04:00:00+00:00,Silver Line,988227.0,31878.0
2018,2018-06-01 04:00:00+00:00,Silver Line,968609.0,32287.0
2018,2018-07-01 04:00:00+00:00,Silver Line,992776.0,32025.0
2018,2018-08-01 04:00:00+00:00,Silver Line,1030473.0,33241.0
2018,2018-09-01 04:00:00+00:00,Silver Line,933496.0,31117.0
2018,2018-10-01 04:00:00+00:00,Silver Line,1032751.0,33315.0
2018,2018-11-01 04:00:00+00:00,Silver Line,965165.0,32172.0
2018,2018-12-01 05:00:00+00:00,Silver Line,848093.0,27358.0
2019,2019-01-01 05:00:00+00:00,Bus,8016103.0,258584.0
2019,2019-02-01 05:00:00+00:00,Bus,7502531.0,267948.0
2019,2019-03-01 05:00:00+00:00,Bus,8441657.0,272312.0
2019,2019-04-01 04:00:00+00:00,Bus,8554377.0,285146.0
2019,2019-05-01 04:00:00+00:00,Bus,8887371.0,286689.0
2019,2019-06-01 04:00:00+00:00,Bus,8192818.0,273094.0
2019,2019-07-01 04:00:00+00:00,Bus,8416840.0,271511.0
2019,2019-08-01 04:00:00+00:00,Bus,8467347.0,273140.0
2019,2019-09-01 04:00:00+00:00,Bus,8720168.0,290672.0
2019,2019-10-01 04:00:00+00:00,Bus,9478735.0,305766.0
2019,2019-11-01 04:00:00+00:00,Bus,8299364.0,276645.0
2019,2019-12-01 05:00:00+00:00,Bus,7788651.0,251247.0
2019,2019-01-01 05:00:00+00:00,Silver Line,911709.0,29410.0
2019,2019-02-01 05:00:00+00:00,Silver Line,827339.0,29548.0
2019,2019-03-01 05:00:00+00:00,Silver Line,995833.0,32124.0
2019,2019-04-01 04:00:00+00:00,Silver Line,995353.0,33178.0
2019,2019-05-01 04:00:00+00:00,Silver Line,1054740.0,34024.0
2019,2019-06-01 04:00:00+00:00,Silver Line,986733.0,32891.0
2019,2019-07-01 04:00:00+00:00,Silver Line,1024590.0,33051.0
2019,2019-08-01 04:00:00+00:00,Silver Line,1014331.0,32720.0
2019,2019-09-01 04:00:00+00:00,Silver Line,933957.0,31132.0
2019,2019-10-01 04:00:00+00:00,Silver Line,1071939.0,34579.0
2019,2019-11-01 04:00:00+00:00,Silver Line,1024992.0,34166.0
2019,2019-12-01 05:00:00+00:00,Silver Line,910832.0,29382.0
2020,2020-01-01 05:00:00+00:00,Bus,8493962.0,273999.0
2020,2020-02-01 05:00:00+00:00,Bus,8008280.0,276148.0
2020,2020-03-01 05:00:00+00:00,Bus,5391097.0,173906.0
2020,2020-04-01 04:00:00+00:00,Bus,2115394.0,70513.0
2020,2020-05-01 04:00:00+00:00,Bus,2597139.0,83779.0
2020,2020-06-01 04:00:00+00:00,Bus,3333640.0,111121.0
2020,2020-07-01 04:00:00+00:00,Bus,3913145.0,126230.0
2020,2020-08-01 04:00:00+00:00,Bus,3840144.0,123876.0
2020,2020-09-01 04:00:00+00:00,Bus,4016026.0,133868.0
2020,2020-10-01 04:00:00+00:00,Bus,4125036.0,133066.0
2020,2020-11-01 04:00:00+00:00,Bus,3704996.0,123500.0
2020,2020-12-01 05:00:00+00:00,Bus,3625584.0,116954.0
2020,2020-01-01 05:00:00+00:00,Silver Line,973248.0,31395.0
2020,2020-02-01 05:00:00+00:00,Silver Line,901915.0,31101.0
2020,2020-03-01 05:00:00+00:00,Silver Line,592061.0,19099.0
2020,2020-04-01 04:00:00+00:00,Silver Line,224480.0,7483.0
2020,2020-05-01 04:00:00+00:00,Silver Line,268072.0,8647.0
2020,2020-06-01 04:00:00+00:00,Silver Line,322397.0,10747.0
2020,2020-07-01 04:00:00+00:00,Silver Line,393234.0,12685.0
2020,2020-08-01 04:00:00+00:00,Silver Line,385679.0,12441.0
2020,2020-09-01 04:00:00+00:00,Silver Line,386212.0,12874.0
2020,2020-10-01 04:00:00+00:00,Silver Line,403971.0,13031.0
2020,2020-11-01 04:00:00+00:00,Silver Line,365668.0,12189.0
2020,2020-12-01 05:00:00+00:00,Silver Line,371044.0,11969.0
2021,2021-01-01 05:00:00+00:00,Bus,3428806.0,110607.0
2021,2021-02-01 05:00:00+00:00,Bus,3352069.0,119717.0
2021,2021-03-01 05:00:00+00:00,Bus,4178265.0,134783.0
2021,2021-04-01 04:00:00+00:00,Bus,4229354.0,140978.0
2021,2021-05-01 04:00:00+00:00,Bus,4545834.0,146640.0
2021,2021-06-01 04:00:00+00:00,Bus,4855997.0,161867.0
2021,2021-07-01 04:00:00+00:00,Bus,4905539.0,158243.0
2021,2021-08-01 04:00:00+00:00,Bus,5143625.0,165923.0
2021,2021-09-01 04:00:00+00:00,Bus,5907005.0,196900.0
2021,2021-10-01 04:00:00+00:00,Bus,6092826.0,196543.0
2021,2021-11-01 04:00:00+00:00,Bus,5761440.0,192048.0
2021,2021-12-01 05:00:00+00:00,Bus,5324954.0,171773.0
2021,2021-01-01 05:00:00+00:00,Silver Line,342824.0,11059.0
2021,2021-02-01 05:00:00+00:00,Silver Line,328957.0,11748.0
2021,2021-03-01 05:00:00+00:00,Silver Line,407218.0,13136.0
2021,2021-04-01 04:00:00+00:00,Silver Line,423432.0,14114.0
2021,2021-05-01 04:00:00+00:00,Silver Line,476610.0,15375.0
